Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2015,7788.25,7937.75,7771.7,7915.2,218422388,9376.17
10-NOV-2015,7877.6,7885.1,7772.85,7783.35,170267413,7153.47
11-NOV-2015,7838.8,7847.95,7819.1,7825,22380435,1123.44
13-NOV-2015,7762.45,7775.1,7730.9,7762.25,165876819,7731.55
16-NOV-2015,7732.95,7838.85,7714.15,7806.6,154134885,6871.15
17-NOV-2015,7848.75,7860.45,7793,7837.55,149451211,6367.14
18-NOV-2015,7823.15,7843.4,7725.05,7731.8,148037721,6112.32
19-NOV-2015,7788.5,7854.9,7765.45,7842.75,136702518,7410.15
20-NOV-2015,7841.9,7906.95,7817.8,7856.55,156610433,7298.01
23-NOV-2015,7869.5,7877.5,7825.2,7849.25,130871603,6099.09
24-NOV-2015,7837,7870.35,7812.65,7831.6,134562905,6686.27
26-NOV-2015,7837.15,7897.1,7832,7883.8,226632193,11054.04
27-NOV-2015,7910.6,7959.3,7879.45,7942.7,154863047,7068.72
30-NOV-2015,7936.25,7966,7922.8,7935.25,223041699,15368.67
01-DEC-2015,7958.15,7972.15,7934.15,7954.9,142945421,6796.67
02-DEC-2015,7976.7,7979.3,7910.8,7931.35,130207404,6242.53
03-DEC-2015,7902.3,7912.3,7853.3,7864.15,129628400,5636.41
04-DEC-2015,7817.6,7821.4,7775.7,7781.9,157231681,7758.36
07-DEC-2015,7816.55,7825.4,7746.05,7765.4,141893279,6403.97
08-DEC-2015,7738.5,7771.25,7685.45,7701.7,139318392,5986.06
09-DEC-2015,7695.5,7702.85,7606.9,7612.5,144315690,6599.6
10-DEC-2015,7643.3,7691.95,7610,7683.3,145249292,6492.02
11-DEC-2015,7699.6,7703.05,7575.3,7610.45,172996480,6894.44
14-DEC-2015,7558.2,7663.95,7551.05,7650.05,153492615,6290.42
15-DEC-2015,7659.15,7705,7625.1,7700.9,138479057,6152.14
16-DEC-2015,7725.25,7776.6,7715.75,7750.9,159149338,6703.76
17-DEC-2015,7783.05,7852.9,7737.55,7844.35,181256780,7367.15
18-DEC-2015,7828.9,7836.15,7753.35,7761.95,197319843,8074.5
21-DEC-2015,7745.65,7840.75,7733.45,7834.45,130174102,5558.38
22-DEC-2015,7829.4,7846.3,7776.85,7786.1,129633328,5028.11
23-DEC-2015,7830.45,7871.45,7826.1,7865.95,121480721,4663.45
24-DEC-2015,7888.75,7888.75,7835.5,7861.05,96374245,3383.99
28-DEC-2015,7863.2,7937.2,7863,7925.15,126737811,5755.48
29-DEC-2015,7929.2,7942.15,7902.75,7928.95,116535971,4950.36
