Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2016,7938.45,7972.55,7909.8,7963.2,64843836,2613.91
04-JAN-2016,7924.55,7937.55,7781.1,7791.3,138864905,5897.08
05-JAN-2016,7828.4,7831.2,7763.25,7784.65,149672973,5948.51
06-JAN-2016,7788.05,7800.95,7721.2,7741,151715828,6722.17
07-JAN-2016,7673.35,7674.95,7556.6,7568.3,194732861,7803.21
08-JAN-2016,7611.65,7634.1,7581.05,7601.35,162348690,6753.57
11-JAN-2016,7527.45,7605.1,7494.35,7563.85,194836791,7327.15
12-JAN-2016,7587.2,7588.3,7487.8,7510.3,168975973,7071.48
13-JAN-2016,7557.9,7590.95,7425.8,7562.4,221908258,9585.17
14-JAN-2016,7467.4,7604.8,7443.8,7536.8,206988549,9246.75
15-JAN-2016,7561.65,7566.5,7427.3,7437.8,203643071,8279.07
18-JAN-2016,7420.35,7463.65,7336.4,7351,240798183,8431.56
19-JAN-2016,7381.8,7462.75,7364.15,7435.1,194068339,7038.84
20-JAN-2016,7357,7470.9,7241.5,7309.3,232614141,8794.16
21-JAN-2016,7376.65,7398.7,7250,7276.8,248113284,9401.16
22-JAN-2016,7355.7,7433.4,7327.6,7422.45,236282061,7666.39
25-JAN-2016,7468.75,7487.15,7421.2,7436.15,168202502,5910.99
27-JAN-2016,7469.6,7477.9,7419.7,7437.75,193389891,6834.77
28-JAN-2016,7426.5,7468.85,7409.6,7424.65,283036298,10049.88
29-JAN-2016,7413.35,7575.65,7402.8,7563.55,307934042,11277.33
01-FEB-2016,7589.5,7600.45,7541.25,7555.95,206645021,8209.5
02-FEB-2016,7566.65,7576.3,7428.05,7455.55,237338907,8030.99
03-FEB-2016,7392.45,7419.4,7350.3,7361.8,197863301,6748.17
04-FEB-2016,7411.45,7457.05,7365.95,7404,229563364,7465.35
05-FEB-2016,7418.25,7503.15,7406.65,7489.1,257518899,8628.24
08-FEB-2016,7489.7,7512.55,7363.2,7387.25,176758985,5746.45
09-FEB-2016,7303.95,7323.45,7275.15,7298.2,218730280,7415.13
10-FEB-2016,7264.3,7271.85,7177.75,7215.7,254481339,8129.65
11-FEB-2016,7203.6,7208.65,6959.95,6976.35,301302956,9250.27
12-FEB-2016,7023.65,7034.8,6869,6980.95,344210729,11062.63
15-FEB-2016,7057.35,7182.8,7056.8,7162.95,365217073,10204.34
16-FEB-2016,7201.25,7204.65,7037.7,7048.25,261607451,7638.39
17-FEB-2016,7058.85,7123.7,6960.65,7108.45,268017961,7686.32
18-FEB-2016,7177.4,7215.1,7127.85,7191.75,254331498,8051.51
19-FEB-2016,7170.55,7226.85,7145.95,7210.75,198206480,6156.58
22-FEB-2016,7208.85,7252.4,7200.7,7234.55,159162842,5832.89
23-FEB-2016,7240.3,7241.7,7090.7,7109.55,200396978,6433.16
24-FEB-2016,7075,7090.8,7009.75,7018.7,205898417,6497.18
25-FEB-2016,7029.85,7034.2,6961.4,6970.6,291932544,9090.16
26-FEB-2016,7039.3,7052.9,6985.1,7029.75,213142575,6880.96
29-FEB-2016,7050.45,7094.6,6825.8,6987.05,487969285,15992.15
01-MAR-2016,7038.25,7235.5,7035.1,7222.3,283561570,9896.58
02-MAR-2016,7321.7,7380.35,7308.15,7368.85,348965708,10983.06
03-MAR-2016,7429.55,7483.95,7406.05,7475.6,287248532,9255.43
04-MAR-2016,7505.4,7505.9,7444.1,7485.35,290441230,8135.06
08-MAR-2016,7486.4,7527.15,7442.15,7485.3,264945393,8417.86
09-MAR-2016,7436.1,7539,7424.3,7531.8,252709391,9036.29
10-MAR-2016,7545.35,7547.1,7447.4,7486.15,231584305,8875.92
11-MAR-2016,7484.85,7543.95,7460.6,7510.2,204806572,7558.55
14-MAR-2016,7542.6,7583.7,7515.05,7538.75,172067214,6330.45
15-MAR-2016,7535.85,7545.2,7452.8,7460.6,199653871,7577.78
16-MAR-2016,7457.05,7508,7405.15,7498.75,201430035,7102.59
17-MAR-2016,7557.4,7585.3,7479.4,7512.55,247043954,9539.89
18-MAR-2016,7534.65,7613.6,7517.9,7604.35,244727490,9971.59
21-MAR-2016,7619.2,7713.55,7617.7,7704.25,202853386,8381.51
22-MAR-2016,7695.55,7728.2,7643.8,7714.9,215355848,8628.05
23-MAR-2016,7717.45,7726.85,7670.6,7716.5,205794773,7612.54
28-MAR-2016,7741,7749.4,7587.7,7615.1,249905118,10102.36
29-MAR-2016,7606.55,7652.9,7582.25,7597,223493457,10474.75
30-MAR-2016,7651.1,7741.95,7643.45,7735.2,239843751,9908.6
